n,a_n,b_n,c_n,avg
1,13,13,9,11.66667
2,53,53,69,58.33333
3,313,313,249,291.66667
4,1373,1373,1629,1458.33333
5,7633,7633,6609,7291.66667
6,35093,35093,39189,36458.33333
7,187753,187753,171369,182291.66667
8,889613,889613,955149,911458.33333
9,4644673,4644673,4382529,4557291.66667
10,22436933,22436933,23485509,22786458.33333
11,115330393,115330393,111136089,113932291.66667
12,564069053,564069053,580846269,569661458.33333
13,-1424290383,-1424290383,-1491399247,-15004239.0
14,1267156085,1267156085,1535591541,-75021195.0
15,-1448847799,-1448847799,1772377673,-375105975.0
16,-1875529875,-1875529875,-1875529875,-443874109.66667
17,-787714783,-787714783,-787714783,643940982.33333
18,356393381,356393381,356393381,356393381.0
19,1781966905,1781966905,1781966905,350311139.66667
20,319899933,319899933,319899933,319899933.0
